"Item","Reference(s)","Description","Qty","Manufacturer","Mfg Part #","Package","Type","Value"
"1","C1","","1","","ECQ-E4225KF","C_Rect_L29.0mm_W11.0mm_P27.50mm_MKT","","2.2uF"
"2","C2","","1","","16ZLH470MEFC8X11.5","CP_Radial_D8.0mm_P3.50mm","","470uF"
"3","D1, D2, D4","","3","","1N4004-T","D_DO-41_SOD81_P10.16mm_Horizontal","","1N4004"
"4","D3","","1","","1N5242BTR","D_DO-35_SOD27_P7.62mm_Horizontal","","1N5242BTR"
"5","Q1","","1","","2N3904BU","TO-92","","2N3904BU"
"6","R1","","1","","","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","","120K"
"7","R2","","1","","PNP300JR-73-33R","R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","","33"
"8","R3, R5, R6, R7","","4","","","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","","10K"
"9","R4","","1","","Gl5528","R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical","","Gl5528"
"10","U1","","1","","TL082IP","DIP-8_W7.62mm","","TL082"
"11","U2","","1","","ORWH-SH-124D1F,000","Relay_SPDT_SANYOU_SRD_Series_Form_C","","SRD-XXVDC"
